"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"mineral water","oatmeal","eggplant","brownies","","","","","","","","","","","","","","","",""
"mineral water","green grapes","cooking oil","","","","","","","","","","","","","","","","",""
"mineral water","chicken","green tea","","","","","","","","","","","","","","","","",""
"milk","body spray","","","","","","","","","","","","","","","","","",""
"olive oil","","","","","","","","","","","","","","","","","","",""
"chocolate","muffins","cooking oil","french fries","","","","","","","","","","","","","","","",""
"escalope","","","","","","","","","","","","","","","","","","",""
"energy bar","vegetables mix","energy drink","light mayo","","","","","","","","","","","","","","","",""
"mineral water","whole wheat rice","bug spray","chicken","","","","","","","","","","","","","","","",""
"turkey","red wine","whole wheat pasta","pepper","spaghetti","mineral water","soup","avocado","eggs","body spray","low fat yogurt","","","","","","","","",""
"parmesan cheese","eggs","cottage cheese","light mayo","","","","","","","","","","","","","","","",""
"frozen vegetables","strawberries","yogurt cake","gluten free bar","","","","","","","","","","","","","","","",""
"vegetables mix","energy drink","","","","","","","","","","","","","","","","","",""
"turkey","shrimp","eggs","light cream","cottage cheese","","","","","","","","","","","","","","",""
"burgers","ground beef","salmon","vegetables mix","eggs","chocolate","","","","","","","","","","","","","",""
"turkey","shrimp","frozen vegetables","mineral water","chocolate","olive oil","honey","","","","","","","","","","","","",""
"babies food","","","","","","","","","","","","","","","","","","",""
"parmesan cheese","rice","white wine","","","","","","","","","","","","","","","","",""
"shrimp","frozen vegetables","mineral water","milk","black tea","cereals","chocolate","pancakes","yogurt cake","","","","","","","","","","",""
"chocolate","cake","","","","","","","","","","","","","","","","","",""
"salmon","","","","","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"champagne","cookies","","","","","","","","","","","","","","","","","",""
"shrimp","oil","champagne","","","","","","","","","","","","","","","","",""
"mineral water","mayonnaise","","","","","","","","","","","","","","","","","",""
"cake","","","","","","","","","","","","","","","","","","",""
"burgers","eggs","frozen smoothie","","","","","","","","","","","","","","","","",""
"frozen vegetables","milk","green grapes","pancakes","tea","","","","","","","","","","","","","","",""
"burgers","eggs","cake","chocolate","","","","","","","","","","","","","","","",""
"mineral water","milk","cake","french fries","champagne","green tea","","","","","","","","","","","","","",""
"turkey","grated cheese","herb & pepper","frozen vegetables","spaghetti","mineral water","milk","eggs","gums","carrots","french fries","low fat yogurt","","","","","","","",""
"butter","whole wheat rice","","","","","","","","","","","","","","","","","",""
"frozen smoothie","tomato juice","fresh bread","","","","","","","","","","","","","","","","",""
"extra dark chocolate","green tea","candy bars","","","","","","","","","","","","","","","","",""
"ham","","","","","","","","","","","","","","","","","","",""
"herb & pepper","frozen vegetables","ground beef","tomato sauce","spaghetti","mineral water","milk","french wine","eggs","whole wheat rice","chocolate","escalope","hot dogs","green tea","","","","","",""
"mineral water","milk","salmon","","","","","","","","","","","","","","","","",""
"honey","champagne","escalope","pasta","mushroom cream sauce","","","","","","","","","","","","","","",""
"turkey","mineral water","salmon","nonfat milk","magazines","mayonnaise","zucchini","green tea","","","","","","","","","","","",""
"mineral water","whole wheat rice","zucchini","","","","","","","","","","","","","","","","",""
"burgers","chocolate","mineral water","fromage blanc","salmon","eggs","rice","cooking oil","chicken","carrots","tomato juice","","","","","","","","",""
"olive oil","energy drink","","","","","","","","","","","","","","","","","",""
"protein bar","","","","","","","","","","","","","","","","","","",""
"frozen vegetables","mineral water","cereals","sparkling water","energy drink","","","","","","","","","","","","","","",""
"eggs","ham","","","","","","","","","","","","","","","","","",""
"turkey","shrimp","frozen vegetables","spaghetti","mineral water","toothpaste","","","","","","","","","","","","","",""
"escalope","","","","","","","","","","","","","","","","","","",""
"milk","low fat yogurt","","","","","","","","","","","","","","","","","",""
"shrimp","chocolate","almonds","pancakes","","","","","","","","","","","","","","","",""
"shrimp","mineral water","milk","pancakes","strawberries","","","","","","","","","","","","","","",""
"burgers","shrimp","ground beef","spaghetti","mineral water","eggs","whole wheat rice","cereals","chocolate","","","","","","","","","","",""
"parmesan cheese","chocolate","black tea","cookies","","","","","","","","","","","","","","","",""
"chocolate","milk","","","","","","","","","","","","","","","","","",""
"burgers","","","","","","","","","","","","","","","","","","",""
"escalope","cookies","","","","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"eggs","pet food","","","","","","","","","","","","","","","","","",""
"escalope","","","","","","","","","","","","","","","","","","",""
"mineral water","","","","","","","","","","","","","","","","","","",""
"shrimp","olive oil","whole wheat rice","chocolate","tomato juice","","","","","","","","","","","","","","",""
"shrimp","energy drink","","","","","","","","","","","","","","","","","",""
"turkey","ground beef","","","","","","","","","","","","","","","","","",""
"frozen vegetables","spaghetti","butter","pancakes","mint","","","","","","","","","","","","","","",""
"pancakes","","","","","","","","","","","","","","","","","","",""
"mineral water","fromage blanc","french fries","body spray","pancakes","energy drink","green tea","","","","","","","","","","","","",""
"grated cheese","whole wheat pasta","pepper","","","","","","","","","","","","","","","","",""
"eggs","","","","","","","","","","","","","","","","","","",""
"muffins","blueberries","pet food","green tea","toothpaste","","","","","","","","","","","","","","",""
"green tea","","","","","","","","","","","","","","","","","","",""
"nonfat milk","","","","","","","","","","","","","","","","","","",""
"salmon","vegetables mix","","","","","","","","","","","","","","","","","",""
"mineral water","chocolate","rice","champagne","","","","","","","","","","","","","","","",""
"pepper","cider","","","","","","","","","","","","","","","","","",""
"milk","cake","cookies","mushroom cream sauce","","","","","","","","","","","","","","","",""
"mineral water","milk","olive oil","black tea","light mayo","","","","","","","","","","","","","","",""
"eggs","","","","","","","","","","","","","","","","","","",""
"frozen vegetables","tomatoes","milk","salmon","","","","","","","","","","","","","","","",""
"red wine","gums","pet food","","","","","","","","","","","","","","","","",""
"pickles","light mayo","","","","","","","","","","","","","","","","","",""
"spaghetti","spinach","oil","green tea","","","","","","","","","","","","","","","",""
"chocolate","french fries","escalope","","","","","","","","","","","","","","","","",""
"low fat yogurt","","","","","","","","","","","","","","","","","","",""
"mineral water","salmon","","","","","","","","","","","","","","","","","",""
"grated cheese","frozen vegetables","french wine","cooking oil","french fries","escalope","fresh bread","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"ground beef","spaghetti","","","","","","","","","","","","","","","","","",""
"turkey","eggs","ketchup","french fries","","","","","","","","","","","","","","","",""
"eggs","energy drink","","","","","","","","","","","","","","","","","",""
"mineral water","nonfat milk","eggs","carrots","","","","","","","","","","","","","","","",""
"french fries","frozen smoothie","energy drink","","","","","","","","","","","","","","","","",""
"milk","","","","","","","","","","","","","","","","","","",""
"burger sauce","oil","","","","","","","","","","","","","","","","","",""
"red wine","flax seed","cake","frozen smoothie","hot dogs","toothpaste","","","","","","","","","","","","","",""
"burgers","spaghetti","eggs","","","","","","","","","","","","","","","","",""
"burgers","ground beef","pepper","tomato sauce","spaghetti","butter","french wine","chicken","salmon","eggs","chocolate","french fries","escalope","mushroom cream sauce","","","","","",""
"chicken","muffins","cake","yogurt cake","","","","","","","","","","","","","","","",""
"mayonnaise","","","","","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"grated cheese","ground beef","almonds","yogurt cake","energy drink","fresh bread","green tea","","","","","","","","","","","","",""
"burgers","spaghetti","milk","chocolate","french fries","cookies","green tea","","","","","","","","","","","","",""
"burgers","frozen vegetables","eggs","cake","","","","","","","","","","","","","","","",""
"herb & pepper","spaghetti","low fat yogurt","","","","","","","","","","","","","","","","",""
"mineral water","french wine","green tea","","","","","","","","","","","","","","","","",""
"mineral water","avocado","cake","pet food","eggplant","french fries","escalope","mushroom cream sauce","fresh bread","toothpaste","","","","","","","","","",""
"escalope","","","","","","","","","","","","","","","","","","",""
"tomatoes","muffins","escalope","","","","","","","","","","","","","","","","",""
"spaghetti","","","","","","","","","","","","","","","","","","",""
"ground beef","chocolate","champagne","","","","","","","","","","","","","","","","",""
"whole wheat rice","","","","","","","","","","","","","","","","","","",""
"frozen vegetables","ground beef","spaghetti","mineral water","milk","black tea","pancakes","eggs","cooking oil","barbecue sauce","chocolate","","","","","","","","",""
"cooking oil","carrots","green tea","escalope","gluten free bar","","","","","","","","","","","","","","",""
"oil","","","","","","","","","","","","","","","","","","",""
"yams","melons","","","","","","","","","","","","","","","","","",""
"milk","tomato juice","low fat yogurt","green tea","","","","","","","","","","","","","","","",""
"cooking oil","frozen smoothie","mushroom cream sauce","","","","","","","","","","","","","","","","",""
"ham","mineral water","soup","almonds","light cream","chicken","chocolate","french fries","cookies","","","","","","","","","","",""
"hot dogs","","","","","","","","","","","","","","","","","","",""
"french fries","yogurt cake","","","","","","","","","","","","","","","","","",""
"yams","","","","","","","","","","","","","","","","","","",""
"pepper","chocolate","olive oil","french wine","salmon","rice","light mayo","fresh bread","magazines","","","","","","","","","","",""
"green tea","tea","","","","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"chocolate","mushroom cream sauce","","","","","","","","","","","","","","","","","",""
"mineral water","eggs","blueberries","soda","escalope","","","","","","","","","","","","","","",""
"grated cheese","spaghetti","","","","","","","","","","","","","","","","","",""
"burgers","pancakes","cake","chocolate","low fat yogurt","","","","","","","","","","","","","","",""
"frozen vegetables","","","","","","","","","","","","","","","","","","",""
"butter","cake","green tea","mushroom cream sauce","mint","","","","","","","","","","","","","","",""
"chocolate","frozen vegetables","nonfat milk","pancakes","blueberries","melons","salt","","","","","","","","","","","","",""
"frozen vegetables","whole wheat pasta","spaghetti","chocolate","soup","butter","french wine","pancakes","eggs","","","","","","","","","","",""
"mineral water","","","","","","","","","","","","","","","","","","",""
"burgers","ham","shrimp","milk","muffins","eggs","whole wheat rice","carrots","oatmeal","pasta","low fat yogurt","","","","","","","","",""
"spaghetti","milk","strong cheese","chocolate","","","","","","","","","","","","","","","",""
"pepper","mineral water","pancakes","chicken","tomato juice","","","","","","","","","","","","","","",""
"burgers","fresh tuna","shrimp","spaghetti","chocolate","french wine","chutney","pancakes","eggs","whole wheat rice","cooking oil","french fries","light mayo","","","","","","",""
"turkey","herb & pepper","parmesan cheese","spaghetti","escalope","mushroom cream sauce","fresh bread","low fat yogurt","","","","","","","","","","","",""
"grated cheese","ground beef","rice","sandwich","tomato juice","low fat yogurt","green tea","honey","","","","","","","","","","","",""
"shrimp","whole wheat pasta","milk","chocolate","french fries","frozen smoothie","pancakes","energy drink","green tea","","","","","","","","","","",""
"frozen vegetables","mineral water","french wine","eggs","cereals","chocolate","salt","","","","","","","","","","","","",""
"cake","","","","","","","","","","","","","","","","","","",""
"pancakes","white wine","","","","","","","","","","","","","","","","","",""
"cereals","pancakes","","","","","","","","","","","","","","","","","",""
"mineral water","chocolate","french fries","cookies","","","","","","","","","","","","","","","",""
"grated cheese","whole wheat pasta","ground beef","spaghetti","cake","energy drink","","","","","","","","","","","","","",""
"frozen vegetables","","","","","","","","","","","","","","","","","","",""
"frozen vegetables","spaghetti","cake","cottage cheese","brownies","pancakes","energy drink","green tea","","","","","","","","","","","",""
"herb & pepper","chocolate","champagne","yogurt cake","green tea","","","","","","","","","","","","","","",""
"turkey","spaghetti","eggs","honey","french fries","champagne","pancakes","protein bar","","","","","","","","","","","",""
"burgers","shrimp","mineral water","milk","energy bar","rice","brownies","yogurt cake","","","","","","","","","","","",""
"shrimp","champagne","pasta","magazines","","","","","","","","","","","","","","","",""
"cake","cooking oil","green tea","","","","","","","","","","","","","","","","",""
"shrimp","mineral water","","","","","","","","","","","","","","","","","",""
"frozen vegetables","soup","milk","olive oil","","","","","","","","","","","","","","","",""
"burgers","red wine","tomatoes","ground beef","mineral water","pancakes","","","","","","","","","","","","","",""
"spaghetti","mineral water","whole wheat rice","cereals","strawberries","fresh bread","","","","","","","","","","","","","",""
"pepper","spaghetti","blueberries","escalope","shallot","low fat yogurt","","","","","","","","","","","","","",""
"french fries","","","","","","","","","","","","","","","","","","",""
"shrimp","pepper","","","","","","","","","","","","","","","","","",""
"mushroom cream sauce","sandwich","","","","","","","","","","","","","","","","","",""
"protein bar","","","","","","","","","","","","","","","","","","",""
"grated cheese","shrimp","spaghetti","avocado","milk","","","","","","","","","","","","","","",""
"escalope","green tea","","","","","","","","","","","","","","","","","",""
"ground beef","spaghetti","","","","","","","","","","","","","","","","","",""
"parmesan cheese","","","","","","","","","","","","","","","","","","",""
"burgers","milk","cream","","","","","","","","","","","","","","","","",""
"shrimp","pasta","mineral water","soup","avocado","milk","olive oil","green grapes","eggs","bug spray","","","","","","","","","",""
"spaghetti","butter","eggs","cake","chocolate","french fries","","","","","","","","","","","","","",""
"burgers","whole wheat rice","cooking oil","escalope","","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"spaghetti","mineral water","chili","chocolate","escalope","","","","","","","","","","","","","","",""
"turkey","burgers","mineral water","meatballs","milk","almonds","french wine","eggs","cake","carrots","low fat yogurt","","","","","","","","",""
"mineral water","milk","chocolate","cookies","","","","","","","","","","","","","","","",""
"chicken","","","","","","","","","","","","","","","","","","",""
"herb & pepper","olive oil","fresh bread","","","","","","","","","","","","","","","","",""
"tomatoes","mineral water","","","","","","","","","","","","","","","","","",""
"shrimp","frozen vegetables","frozen smoothie","","","","","","","","","","","","","","","","",""
"olive oil","chicken","chocolate","cookies","green tea","","","","","","","","","","","","","","",""
"meatballs","eggplant","","","","","","","","","","","","","","","","","",""
"mineral water","","","","","","","","","","","","","","","","","","",""
"burgers","spaghetti","","","","","","","","","","","","","","","","","",""
"mineral water","soup","extra dark chocolate","","","","","","","","","","","","","","","","",""
"escalope","","","","","","","","","","","","","","","","","","",""
"ground beef","tomato sauce","spaghetti","mineral water","milk","eggs","light cream","cooking oil","cereals","frozen smoothie","mint","","","","","","","","",""
"frozen vegetables","","","","","","","","","","","","","","","","","","",""
"antioxydant juice","french fries","champagne","","","","","","","","","","","","","","","","",""
"strawberries","","","","","","","","","","","","","","","","","","",""
"honey","whole wheat rice","","","","","","","","","","","","","","","","","",""
"mineral water","frozen smoothie","","","","","","","","","","","","","","","","","",""
"milk","olive oil","salmon","bug spray","rice","extra dark chocolate","french fries","champagne","frozen smoothie","","","","","","","","","","",""
"vegetables mix","","","","","","","","","","","","","","","","","","",""
"chicken","eggs","french fries","strawberries","","","","","","","","","","","","","","","",""
"yogurt cake","low fat yogurt","","","","","","","","","","","","","","","","","",""
"ground beef","mineral water","milk","oatmeal","chocolate","french fries","escalope","yogurt cake","tomato juice","","","","","","","","","","",""
"energy bar","eggs","","","","","","","","","","","","","","","","","",""
"tomato sauce","oil","clothes accessories","","","","","","","","","","","","","","","","",""
"burgers","chocolate","tomatoes","whole wheat pasta","spaghetti","avocado","milk","salmon","vegetables mix","whole wheat rice","gums","ketchup","corn","french fries","cookies","sparkling water","","","",""
"fresh tuna","barbecue sauce","eggplant","","","","","","","","","","","","","","","","",""
"tomatoes","","","","","","","","","","","","","","","","","","",""
"burgers","red wine","tomatoes","spaghetti","meatballs","bacon","salmon","shampoo","","","","","","","","","","","",""
"green tea","","","","","","","","","","","","","","","","","","",""
"whole wheat pasta","ground beef","mineral water","soup","nonfat milk","pancakes","eggs","","","","","","","","","","","","",""
"french fries","pancakes","yogurt cake","low fat yogurt","green tea","","","","","","","","","","","","","","",""
"frozen vegetables","whole wheat pasta","milk","french fries","mushroom cream sauce","","","","","","","","","","","","","","",""
"pasta","","","","","","","","","","","","","","","","","","",""
"frozen vegetables","parmesan cheese","mineral water","eggplant","chocolate","frozen smoothie","","","","","","","","","","","","","",""
"turkey","frozen vegetables","mineral water","eggs","chocolate","fresh bread","","","","","","","","","","","","","",""
"burgers","tomatoes","mineral water","chocolate","milk","salt","","","","","","","","","","","","","",""
"turkey","fresh tuna","mineral water","chicken","fromage blanc","honey","green tea","","","","","","","","","","","","",""
"grated cheese","ground beef","mineral water","carrots","green tea","","","","","","","","","","","","","","",""
"honey","","","","","","","","","","","","","","","","","","",""
"pancakes","","","","","","","","","","","","","","","","","","",""
"honey","cottage cheese","green tea","","","","","","","","","","","","","","","","",""
"frozen vegetables","eggs","melons","low fat yogurt","green tea","","","","","","","","","","","","","","",""
"soup","soda","","","","","","","","","","","","","","","","","",""
"herb & pepper","red wine","","","","","","","","","","","","","","","","","",""
"grated cheese","frozen vegetables","spaghetti","avocado","milk","blueberries","light cream","rice","green tea","chocolate","french fries","frozen smoothie","cookies","hot dogs","","","","","",""
"fresh tuna","chocolate","spaghetti","fromage blanc","honey","protein bar","","","","","","","","","","","","","",""
"parmesan cheese","ground beef","","","","","","","","","","","","","","","","","",""
"frozen vegetables","eggs","chocolate","","","","","","","","","","","","","","","","",""
"spaghetti","mineral water","milk","vegetables mix","gums","cereals","french fries","frozen smoothie","pancakes","tomato juice","low fat yogurt","","","","","","","","",""
"burgers","grated cheese","spaghetti","mineral water","green tea","","","","","","","","","","","","","","",""
"turkey","french fries","","","","","","","","","","","","","","","","","",""
"candy bars","","","","","","","","","","","","","","","","","","",""
"turkey","","","","","","","","","","","","","","","","","","",""
"spaghetti","","","","","","","","","","","","","","","","","","",""
"mineral water","chicken","hot dogs","light mayo","","","","","","","","","","","","","","","",""
"chicken","energy drink","","","","","","","","","","","","","","","","","",""
"pepper","spaghetti","eggs","bug spray","pancakes","energy drink","green tea","","","","","","","","","","","","",""
"green tea","escalope","","","","","","","","","","","","","","","","","",""
"turkey","whole wheat pasta","olive oil","pancakes","eggs","","","","","","","","","","","","","","",""
"avocado","black tea","eggs","","","","","","","","","","","","","","","","",""
"ground beef","chocolate","escalope","","","","","","","","","","","","","","","","",""
"frozen vegetables","energy bar","","","","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"chocolate","grated cheese","herb & pepper","whole wheat pasta","almonds","oatmeal","green tea","","","","","","","","","","","","",""
"mineral water","yogurt cake","","","","","","","","","","","","","","","","","",""
"ham","mineral water","spinach","cooking oil","french fries","protein bar","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"meatballs","green tea","","","","","","","","","","","","","","","","","",""
"chicken","whole wheat rice","ham","french fries","pancakes","","","","","","","","","","","","","","",""
"spaghetti","whole wheat rice","","","","","","","","","","","","","","","","","",""
"french fries","","","","","","","","","","","","","","","","","","",""
"mineral water","meatballs","pancakes","","","","","","","","","","","","","","","","",""
"yams","cake","","","","","","","","","","","","","","","","","",""
"avocado","light mayo","","","","","","","","","","","","","","","","","",""
"grated cheese","frozen vegetables","mineral water","eggs","cooking oil","","","","","","","","","","","","","","",""
"green tea","","","","","","","","","","","","","","","","","","",""
"french fries","cookies","","","","","","","","","","","","","","","","","",""
"parmesan cheese","spaghetti","soda","pet food","white wine","","","","","","","","","","","","","","",""
"frozen vegetables","mineral water","soup","milk","whole wheat rice","cake","cereals","melons","","","","","","","","","","","",""
"spaghetti","mineral water","barbecue sauce","yogurt cake","salad","","","","","","","","","","","","","","",""
"escalope","","","","","","","","","","","","","","","","","","",""
"mineral water","avocado","milk","almonds","eggs","french fries","melons","","","","","","","","","","","","",""
"escalope","","","","","","","","","","","","","","","","","","",""
"burgers","black tea","eggs","cookies","","","","","","","","","","","","","","","",""
"mineral water","soup","milk","gluten free bar","light mayo","low fat yogurt","","","","","","","","","","","","","",""
"ham","spaghetti","soup","almonds","rice","green tea","","","","","","","","","","","","","",""
"frozen vegetables","parmesan cheese","milk","salmon","muffins","eggs","chicken","french fries","protein bar","salt","","","","","","","","","",""
"burgers","shrimp","","","","","","","","","","","","","","","","","",""
"spaghetti","hot dogs","","","","","","","","","","","","","","","","","",""
"mineral water","milk","barbecue sauce","chocolate","low fat yogurt","","","","","","","","","","","","","","",""
"mineral water","","","","","","","","","","","","","","","","","","",""
"spaghetti","yams","butter","chocolate","","","","","","","","","","","","","","","",""
"mineral water","milk","cake","whole weat flour","french fries","","","","","","","","","","","","","","",""
"chocolate","frozen vegetables","ground beef","mineral water","honey","energy drink","green tea","","","","","","","","","","","","",""
"eggs","brownies","","","","","","","","","","","","","","","","","",""
"escalope","zucchini","","","","","","","","","","","","","","","","","",""
"green tea","","","","","","","","","","","","","","","","","","",""
"chocolate","whole wheat rice","melons","","","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"mineral water","black tea","eggs","whole wheat rice","","","","","","","","","","","","","","","",""
"shrimp","chocolate","avocado","fromage blanc","honey","carrots","melons","shampoo","","","","","","","","","","","",""
"french fries","","","","","","","","","","","","","","","","","","",""
"milk","eggs","cake","chocolate","french fries","green tea","","","","","","","","","","","","","",""
"ground beef","energy bar","pet food","carrots","protein bar","","","","","","","","","","","","","","",""
"chutney","vegetables mix","","","","","","","","","","","","","","","","","",""
"mushroom cream sauce","","","","","","","","","","","","","","","","","","",""
"turkey","eggs","pancakes","","","","","","","","","","","","","","","","",""
"herb & pepper","milk","chicken","vegetables mix","cereals","low fat yogurt","","","","","","","","","","","","","",""
"eggs","cake","low fat yogurt","","","","","","","","","","","","","","","","",""
"candy bars","","","","","","","","","","","","","","","","","","",""
"eggs","french fries","brownies","strawberries","","","","","","","","","","","","","","","",""
"burgers","spaghetti","whole wheat rice","","","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"vegetables mix","honey","frozen smoothie","","","","","","","","","","","","","","","","",""
